dong,name,menu,address,number,open_time,close_time,holyday,park
북정동,장어만찬,장어구이_ 꼼장어소금구이,경상남도 양산시 삼성6길 1 1층,055-381-0592, 11:30, 24:00,넷째주 일요일,N
덕계동,에바돈카츠 양산덕계점,에바돈세트_ 생등심돈,경상남도 양산시 덕계로 46,055-913-0252, 11:00, 21:00,무휴,Y
평산동,달빛돈까스,돈까스_ 오므라이스_ 카레덮밥,경상남도 양산시 평산남로 72,055-364-9727, 10:30, 21:00,화,N
평산동,다오리,생오리백숙_ 오리불고기,경상남도 양산시 평산11길 6,055-386-1103, 10:00, 22:00,둘째주 넷째주 월요일,N
평산동,평산대게마당,대게_ 킹크랩,경상남도 양산시 신명로 10,055-387-6689, 10:00, 21:00,무휴,N
평산동,샤브향,한우버섯샤브,경상남도 양산시 덕계로 144,055-365-1032, 10:00, 21:00,무휴,N
소주동,꽃마실,알탕_땡초부침개_제육볶음,경상남도 양산시 소주회야로 45-40,, 17:00, 24:00,일,N
소주동,뒷골생오리,오리불고기_ 오리백숙,경상남도 양산시 소주회야1길 5-60,055-365-5288, 11:00, 21:00,월,N
소주동,온정카츠,등심까스_ 안심까스_ 치즈까스,경상남도 양산시 소주회야1길 5-18,055-388-0226, 11:30, 21:00,금,N
소주동,연꽃나비,돼지고기수육정식_ 불향오징어낙지정식,경상남도 양산시 백동길 148,0507-1483-1080, 11:00, 20:00,월,N
주남동,고고돈부리,우나기동_ 에비동_ 가츠동,경상남도 양산시 대평들5길 16_ 108호,055-387-3130, 10:00, 21:00,첫째주 셋째주 다섯째주 일요일,N
명동,계림상황삼계탕,삼계탕_ 보쌈,경상남도 양산시 신명동7길 45,055-385-5325, 11:00, 21:00,무휴,N
삼호동,송강민물매운탕,매운당_ 장어구이,경상남도 양산시 용암길 17-8,055-365-1497, 10:00, 21:00,일,N
삼호동,장터소머리국밥,돼지국밥_ 소머리곰탕,경상남도 양산시 서창서1길 24,055-365-2976, 09:00, 20:30,무휴,N
삼호동,마들랑,샐러드_ 샌드위치_ 핫도그,경상남도 양산시 삼호로 165,070-8691-1866, 10:30, 21:30,금,N
삼호동,고봉민김밥인 양산서창점,고봉민김밥,경상남도 양산시 삼호2길 54,055-363-8668, 09:00, 21:00,무휴,N
호계동,도원한식 2호점,한식뷔페,경상남도 양산시 산막공단남8길 26,055-388-7996, 11:00, 13:00,토일,N
북정동,김윤미전복삼계탕 북정점,전복삼계탕_ 웰빙삼계탕_ 한방삼계탕,경상남도 양산시 삼성7길 24,0507-1323-5155, 11:00, 21:00,무휴,N
북정동,백두삼계탕,능이삼계탕_ 백숙,경상남도 양산시 삼성5길 21-20,055-383-0588, 11:30, 22:00,무휴,N
북정동,초심,삼겹살_ 등갈비,경상남도 양산시 삼성5길 10,055-385-6678, 11:00, 22:00,셋째주 일요일,N
북정동,물회전문점 해초,물회_ 미역국_ 모듬회,경상남도 양산시 삼성3길 17-12,055-381-8233, 10:00, 22:00,무휴,N
북정동,도원,집밥한식,경상남도 양산시 북정13길 33,055-386-7996, 08:00, 19:00,일,N
북정동,60계치킨 양산북정점,간지치킨_ 고추치킨_ 호랑이치킨,경상남도 양산시 중앙로 312,055-385-3030, 15:00, 23:00,월,N
신기동,서울부대찌개,부대찌개_ 고기찌개(짜글이),경상남도 양산시 신기1길 5-1,055-362-3368, 11:00, 22:00,일,N
중부동,고봉민김밥인 양산남부시장점,고봉민김밥,경상남도 양산시 중앙로 138-1,055-364-1233, 06:00, 20:30,무휴,N
중부동,양산함흥냉면,냉면,경상남도 양산시 양주5길 3,055-388-1188, 11:00, 20:30,월,N
중부동,황고집돼지국밥,돼지국밥,경상남도 양산시 양주5길 24-6,055-388-4637, 10:00, 20:00,무휴,N
중부동,힐링푸드하나곰탕,한우곰탕,경상남도 양산시 양주2길 3,0507-1301-6735, 11:00, 20:00,일,N
중부동,맛담,한방백숙_ 오리불고기,경상남도 양산시 양주2길 12,055-366-6390, 16:00, 01:00,무휴,N
중부동,한우참숯구이전문점,한우생갈비살_ 제주흑돼지오겹살,경상남도 양산시 양주1길 18,055-367-2052, 09:00, 22:00,무휴,N
중부동,무공돈까스,무공돈까스_ 치즈돈까스,경상남도 양산시 양산역7길 10,055-372-0906, 11:00, 20:30,일,N
남부동,도원,지리산흑돼지삼겹살,경상남도 양산시 남부로 12,055-387-3434, 11:00, 21:00,일,N
남부동,손맛식당,손맛정식_ 갈치찌개,경상남도 양산시 남부4길 8,055-363-3030, 11:00, 19:00,토일,N
북부동,골목삼계탕,삼계탕,경상남도 양산시 북안남4길 8,055-388-8447, 10:00, 22:00,일,Y
북부동,매콤명태,매콤명태,경상남도 양산시 북안남4길 7-29,055-382-7999, 11:00, 22:00,일,N
북부동,한우리,오리한방백숙_ 오리불고기_ 버섯전골,경상남도 양산시 북안남3길 27,055-375-5889, 10:00, 22:00,무휴,N
북부동,바다내음구이전문식당,바다장어_ 꼼장어구이,경상남도 양산시 북안남3길 20,055-385-6966, 16:00, 22:00,일,N
하북면,삼부자마늘보쌈족발,보쌈_ 족발,경상남도 양산시 하북면 통도사로 58,055-382-1055, 10:00, 23:00,둘째주 넷째주 월요일,N
하북면,양지농원,백숙_ 불고기,경상남도 양산시 하북면 지산마을2길 64,055-382-6451, 11:00, 21:00,첫째주 셋째주 월요일,N
하북면,진부령황태구이,황태찜_ 황태구이,경상남도 양산시 하북면 신평로 122,055-372-3533, 09:00, 20:30,무휴,N
하북면,농장숯불갈비,삼겹살_ 갈비탕,경상남도 양산시 하북면 신평강변3길 14,055-381-2442, 11:00, 23:00,무휴,N
상북면,소석명가,곰탕_ 불고기_ 소고기국밥,경상남도 양산시 상북면 충렬로 799,055-375-0684, 11:00, 20:00,둘째주 넷째주 월요일,N
상북면,신라해장국,뼈해장국_ 갈비찜_ 내장전골,경상남도 양산시 상북면 소토로 77,055-374-0080, 07:00, 21:00,첫째주 셋째주 일요일,N
상북면,만석군갈비,돼지갈비_ 삼겹살_ 곱창전골,경상남도 양산시 상북면 반회서6길 12,055-374-4369, 08:00, 23:00,무휴,N
상북면,상북돼지국밥,돼지국밥_ 수육,경상남도 양산시 상북면 반회서6길 12,055-374-6052, 09:00, 21:00,일,N
상북면,지아네식당,한방백숙_ 삼겹살,경상남도 양산시 상북면 반회서5길 5,055-375-0242, 09:00, 21:00,무휴,N
상북면,복어나라,은복_ 까치복_ 밀복,경상남도 양산시 상북면 반회서5길 5,055-374-6610, 09:00, 22:00,무휴,N
상북면,여항낙지,산낙지전골_ 연포탕,경상남도 양산시 상북면 반회서5길 10,055-374-9158, 11:00, 21:00,무휴,N
원동면,배내식당,백숙_ 버섯전골_ 소머리곰탕,경상남도 양산시 원동면 어실로 1562,055-383-2309, 07:00, 20:00,무휴,N
동면,황쏘가리,쏘가리매운탕_ 메기매운탕,경상남도 양산시 동면 호포로 10,055-388-8257, 11:00, 21:00,화,N
동면,시골통돼지볶음,통돼지찌개_ 통돼지볶음_ 생삼겹살,경상남도 양산시 동면 석산1길 21,055-383-0998, 11:00, 21:00,둘째주 넷째주 일요일,N
동면,김밥토리,토리김밥,경상남도 양산시 동면 금오로 247,055-381-8868, 07:00, 20:00,무휴,N
동면,깁밥본가,본가김밥_ 김치찌개,경상남도 양산시 동면 금오로 242,055-382-2555, 06:00, 20:00,무휴,N
동면,족발산장,산장족발,경상남도 양산시 동면 금오2길 55,055-372-3550, 16:00, 24:00,일,N
동면,황후객잔,홍콩식깐풍홍합_ 유린육_ 양꼬치,경상남도 양산시 동면 금오14길 15-19,055-388-6970, 16:30, 01:00,무휴,N
동면,이십오참치,참다랑어 참치회,경상남도 양산시 동면 금오13길 12_ 107호,070-8221-1231, 16:00, 22:30,무휴,N
물금읍,양산라이옥베트남쌀국수,소고기쌀국수_ 닭고기쌀국수_ 월남쌈,경상남도 양산시 물금읍 화합길 12,0507-1337-2819, 09:00, 20:30,월,N
물금읍,설야멱,등심덧살_ 항정살_ 순두부찌개,경상남도 양산시 물금읍 화합7길 9,0507-1359-7955, 15:30, 24:00,월,N
물금읍,내곁애불난쭈꾸미,쭈꾸미볶음_ 쭈삼볶음,경상남도 양산시 물금읍 화합4길 11-5,055-365-0790, 11:00, 23:00,수,N
물금읍,본,참치코스요리,경상남도 양산시 물금읍 화합4길 11-13,055-785-3735, 17:00, 24:00,일,N
물금읍,우정생선구이,고등어시래기조림_ 갈치구이,경상남도 양산시 물금읍 화합3길 8,055-363-9554, 11:00, 21:00,무휴,N
물금읍,경주집,표고버섯찌개,경상남도 양산시 물금읍 화합1길 13-1,055-386-4209, 09:00, 21:00,무휴,N
